id,1,2,3,class
2086816,474.469,474.142701,452.293,0
2086817,462.436,462.0733012,444.292,0
2086818,490.49,490.1046013,468.314,1
2086819,490.49,490.1046013,468.314,1
2086820,506.489,506.0995159,484.313,1
2086821,354.318,354.0851862,340.206,0
2088764,236.267,236.104859,220.139,0
2088765,236.267,236.104859,220.139,0
2088766,250.294,250.1205091,232.15,1
2088767,250.294,250.1205091,232.15,0
2088768,264.321,264.1361591,244.161,0
2088769,250.294,250.1205091,232.15,1
2088770,297.263,297.0848518,282.143,0
2088771,311.29,311.1005019,294.154,1
2088772,325.317,325.1161519,306.165,0
2088773,339.344,339.131802,318.176,0
2088774,309.274,309.0848518,294.154,1
2088775,400.34,400.1117948,380.18,0
2088776,428.394,428.143095,404.202,0
2088777,456.448,456.1743951,428.224,0
2088778,484.502,484.2056952,452.246,0
2088779,283.236,283.0692018,270.132,1
2089149,519.837,518.0025464,502.701,0
2089150,519.837,518.0025464,502.701,0
2089151,519.837,518.0025464,502.701,0
2089152,503.382,502.032097,486.246,0
2089153,521.372,520.0226752,505.244,1
2089200,486.927,486.0616475,469.791,0
2089201,503.382,502.032097,486.246,0
2089202,515.418,514.0520835,495.258,0
2089203,553.389,552.0289034,536.253,0
2089204,536.934,536.058454,519.798,0
2089205,515.418,514.0520835,495.258,0
2089206,499.419,498.0571689,479.259,0
2089207,499.419,498.0571689,479.259,0
2089208,503.382,502.032097,486.246,0
2089209,486.927,486.0616475,469.791,0
2089210,564.288,561.9520309,547.152,0
2089211,553.389,552.0289034,536.253,0
2089320,515.418,514.0520835,495.258,0
2089321,533.864,532.0181965,514.712,0
2089322,601.508,600.0888629,575.3,0
2107358,0,0,0,1
2144069,451.53,451.200825,426.33,0
2321913,349.499,349.1500354,326.315,1
2325406,411.498,411.1304428,389.322,1
2325410,391.536,391.1606,366.336,1
2325412,405.563,405.1762501,378.347,1
2325414,417.574,417.1762501,390.358,1
2325418,373.496,373.2041791,346.28,1
2325425,331.459,331.1936144,306.259,1
2325429,517.069,516.2179706,483.805,1
2325435,375.468,375.1834437,350.268,1
2325436,331.459,331.1936144,306.259,1
2363137,361.206,359.9738332,351.126,1
2373791,346.467,346.2144094,316.227,1
3103270,351.358,351.1106726,334.222,1
3109413,378.509,378.2406242,344.237,0
3109415,376.493,376.2249741,344.237,0
3109416,378.509,378.2406242,344.237,0
3109417,376.493,376.2249741,344.237,0
3109418,394.508,394.2355388,360.236,0
3109419,362.51,362.2457096,328.238,0
3109420,334.456,334.2144094,304.216,0
3109422,478.582,478.2566682,440.278,0
3263195,404.982,404.223056,371.718,1
3263220,376.972,376.2281414,343.708,1
3298793,318.457,318.2194948,288.217,0
3298794,290.491,290.2609657,256.219,0
3349342,572.343,572.0089754,552.183,0
3354665,547.995,547.1510132,521.787,1
3355518,486.967,486.168335,463.783,1
3355519,388.818,388.0839367,375.714,1
3355521,470.964,470.162187,447.78,0
3355522,471.952,471.157436,449.776,1
3355523,485.979,485.1730861,461.787,1
3355524,514.977,514.1632497,491.793,1
3355525,486.967,486.168335,463.783,1
3355527,442.91,442.1308869,423.758,1
3355528,457.925,457.1417859,437.765,1
3355529,457.925,457.1417859,437.765,0
3355530,457.925,457.1417859,437.765,1
3355531,483.963,483.157436,461.787,1
3355532,511.973,511.1523506,489.797,1
3355533,485.979,485.1730861,461.787,1
3355534,521.412,520.1293627,499.236,1
3355535,504.957,504.1589132,482.781,1
3355536,518.408,517.1184637,497.24,1
3355537,501.953,501.1480142,480.785,1
3355538,520.424,519.1341137,497.24,1
3355539,503.969,503.1636643,480.785,1
3425521,304.474,304.2402303,272.218,0
3426483,316.441,316.2038448,288.217,0
3426484,314.425,314.1881947,288.217,0
3426486,300.442,300.2089301,272.218,0
3426487,300.442,300.2089301,272.218,1
3426488,302.458,302.2245802,272.218,0
3426489,318.457,318.2194948,288.217,0
3426491,316.441,316.2038448,288.217,0
3426493,334.456,334.2144094,304.216,0
3426494,320.473,320.2351449,288.217,0
3426496,300.442,300.2089301,272.218,1
3426498,300.442,300.2089301,272.218,0
3426499,318.457,318.2194948,288.217,0
3426500,302.458,302.2245802,272.218,0
3426501,316.441,316.2038448,288.217,0
3426503,304.474,304.2402303,272.218,0
3426505,302.458,302.2245802,272.218,1
3426506,304.474,304.2402303,272.218,0
3426507,318.457,318.2194948,288.217,0
3426508,334.456,334.2144094,304.216,0
3426509,318.457,318.2194948,288.217,0
3426510,302.458,302.2245802,272.218,0
3426511,304.474,304.2402303,272.218,0
3426513,304.474,304.2402303,272.218,0
3426515,304.474,304.2402303,272.218,0
3426516,346.511,346.2507949,312.239,0
3426517,360.494,360.2300595,328.238,0
3426518,304.474,304.2402303,272.218,0
3426520,304.474,304.2402303,272.218,0
3426521,288.475,288.2453156,256.219,0
3426522,304.474,304.2402303,272.218,0
3426523,304.474,304.2402303,272.218,0
3426524,288.475,288.2453156,256.219,0
3426525,458.643,458.3144578,416.307,0
3426526,334.456,334.2144094,304.216,0
3426527,441.406,440.1562216,408.142,0
3426528,460.659,460.3301079,416.307,0
3545252,861.935,861.3782994,802.463,1
3765134,275.304,275.115758,258.168,0
3765259,401.415,401.1474521,378.231,0
3769775,356.476,356.0765531,340.348,1
3797579,392.344,392.099729,381.256,0
